"Timestamp","Example 1 demonstrates the process of drawing outlines around objects that are visible on an aerial imagery and assigning of respective labels. We hope that the example is clear (optional). 
","Example 2 presents an aerial image containing plastics, organic waste and other waste materials. In this image objects are very clear and a visual observer can easily draw outlines around objects of interest (i.e. plastics etc). We hope that the example is clear.","Example 3 presents is a blurred version of the image in example 1. With this quality of the imagery, a visual observer can find problems to draw outlines around objects of interest. For the purpose of this project, such images can make the task of quantifying the area of the waste pile that is covered by plastics to be difficult. We hope that the example is clear.","(1) Given a task to draw outlines around objects that are present in the picture below, would you be able to differentiate different objects and draw outlines? ","From the image above (image 1), how confident are you that you can draw outlines around different objects ? ","(2) Given a task to draw outlines around objects that are present in the picture below, would you be able to differentiate different objects and draw outlines?  ","From the image above (image 2), how confident are you that you can draw outlines around different objects ? ","(3) Given a task to draw outlines around objects that are present in the picture below, how confident are you that you can be able to differentiate different objects and draw outlines? ","From the image above (image 3), how confident are you that you can draw outlines around different objects ? ","(4) Given a task to draw outlines around objects that are present in the picture below, how confident are you that you can be able to differentiate different objects and draw outlines? ","From the image above (image 4), how confident are you that you can draw outlines around different objects ? ","(5) Given a task to draw outlines around objects that are present in the picture below, how confident are you that you can be able to differentiate different objects and draw outlines? ","From the image above (image 5), how confident are you that you can draw outlines around different objects ? ","(6) Given a task to draw outlines around objects that are present in the picture below, how confident are you that you can be able to differentiate different objects and draw outlines? ","From the image above (image 6), how confident are you that you can draw outlines around different objects ? ","(7) Given a task to draw outlines around objects that are present in the picture below, how confident are you that you can be able to differentiate different objects and draw outlines? ","From the image above (image 7), how confident are you that you can draw outlines around different objects ? "
"2022/11/17 3:21:35 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","Yes","4","Yes","3","No","2","No","2","Yes","4","4","","Yes","5"
"2022/11/17 3:26:15 PM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is not clear and more examples are needed","Yes","2","No","2","No","1","No","2","Yes","3","3","3","Yes",""
"2022/11/17 3:50:16 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is not clear and more examples are needed","Yes","3","Yes","3","No","1","No","2","Yes","5","5","4","Yes","5"
"2022/11/17 4:10:16 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","Yes","4","Yes","3","No","1","Yes","2","Yes","5","1","4","Yes","5"
"2022/11/17 4:26:41 PM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is clear and do not need more examples","Yes","3","Yes","2","Yes","2","Yes","2","Yes","4","3","3","Yes","5"
"2022/11/17 4:38:04 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","No","1","No","1","No","1","No","1","Yes","3","3","3","Yes","5"
"2022/11/17 5:07:27 PM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is clear and do not need more examples","No","1","No","1","No","1","No","1","Yes","1","5","5","Yes","5"
"2022/11/17 5:42:39 PM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is not clear and more examples are needed","No","1","No","1","No","1","No","1","Yes","5","5","5","Yes","5"
"2022/11/17 7:33:34 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","No","1","No","1","No","1","No","1","Yes","2","1","1","Yes","4"
"2022/11/18 12:07:05 AM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","Yes","3","Yes","4","Yes","3","Yes","3","Yes","3","3","3","Yes","4"
"2022/11/18 9:05:05 AM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is not clear and more examples are needed","No","2","Yes","3","Yes","3","Yes","3","Yes","5","4","5","Yes","5"
"2022/11/18 9:45:02 AM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is not clear and more examples are needed","No","1","No","1","No","1","No","1","No","1","5","1","No","1"
"2022/11/18 1:55:02 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","No","1","No","2","No","2","No","2","No","2","2","2","No","2"
"2022/11/18 4:55:13 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","Yes","3","Yes","2","Yes","2","Yes","2","Yes","4","4","4","Yes","5"
"2022/11/21 9:24:35 PM GMT+2","","The example is clear and do not need more examples","The example is clear and do not need more examples","Yes","4","Yes","3","No","2","No","2","Yes","5","1","4","Yes","5"
"2022/11/24 12:05:37 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","Yes","4","Yes","3","Yes","3","Yes","3","Yes","4","4","4","Yes","4"
"2022/11/24 12:07:04 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","Yes","2","Yes","3","No","1","Yes","3","Yes","3","3","3","Yes","3"
"2022/11/24 12:15:07 PM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is clear and do not need more examples","No","1","No","1","No","1","No","1","Yes","4","3","2","Yes","3"
"2022/11/24 7:58:12 PM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","No","2","No","1","No","2","Yes","3","Yes","4","4","3","Yes","4"
"2022/11/25 10:10:29 AM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is clear and do not need more examples","","1","No","1","No","1","No","1","No","1","4","1","Yes","4"
"2022/11/26 7:03:40 PM GMT+2","The example is not clear and more examples are needed","The example is clear and do not need more examples","The example is not clear and more examples are needed","Yes","4","Yes","4","Yes","3","Yes","4","Yes","4","4","4","Yes","4"
"2022/11/27 9:01:47 AM GMT+2","The example is clear and do not need more examples","The example is clear and do not need more examples","The example is clear and do not need more examples","No","2","No","2","No","1","No","1","Yes","5","1","5","Yes","5"
